Census Tract,FIPS Code,Formatted FIPS,Estimated typical (median) age of all people between 2010-2014.,Estimated typical (median) age of all people between 2010-2014.,Estimated typical (median) age of all people between 2010-2014.
"36081081800, NY",36081081800,36081081800,34,,
"36081051200, NY",36081051200,36081051200,42,,
"36081071100, NY",36081071100,36081071100,42,,
"36081021400, NY",36081021400,36081021400,33,,
"36061019200, NY",36061019200,36061019200,27,,
"36081145900, NY",36081145900,36081145900,45,,
"36047094401, NY",36047094401,36047094401,39,,
"36081036600, NY",36081036600,36081036600,41,,
"36047056100, NY",36047056100,36047056100,34,,
"36005044400, NY",36005044400,36005044400,42,,
"36081032800, NY",36081032800,36081032800,41,,
"36081081400, NY",36081081400,36081081400,34,,
"36061011700, NY",36061011700,36061011700,32,,
"36081139900, NY",36081139900,36081139900,46,,
"36081050700, NY",36081050700,36081050700,40,,
"36081079200, NY",36081079200,36081079200,32,,
"36081074900, NY",36081074900,36081074900,44,,
"36047005900, NY",36047005900,36047005900,35,,
"36081075702, NY",36081075702,36081075702,46,,
"36081112900, NY",36081112900,36081112900,39,,
"36081146700, NY",36081146700,36081146700,37,,
"36081143500, NY",36081143500,36081143500,41,,
"36047062200, NY",36047062200,36047062200,50,,
"36005011502, NY",36005011502,36005011502,28,,
"36047062000, NY",36047062000,36047062000,43,,
"36005043400, NY",36005043400,36005043400,35,,
"36081030903, NY",36081030903,36081030903,37,,
"36005020000, NY",36005020000,36005020000,32,,
"36005018900, NY",36005018900,36005018900,30,,
"36081145102, NY",36081145102,36081145102,40,,
"36081069000, NY",36081069000,36081069000,35,,
"36061022900, NY",36061022900,36061022900,36,,
"36081048900, NY",36081048900,36081048900,32,,
"36081039400, NY",36081039400,36081039400,41,,
"36047098200, NY",36047098200,36047098200,33,,
"36005023800, NY",36005023800,36005023800,31,,
"36085017300, NY",36085017300,36085017300,40,,
"36061003300, NY",36061003300,36061003300,37,,
"36081048500, NY",36081048500,36081048500,39,,
"36081144100, NY",36081144100,36081144100,45,,
"36061016700, NY",36061016700,36061016700,42,,
"36005028800, NY",36005028800,36005028800,43,,
"36047037000, NY",36047037000,36047037000,41,,
"36047002200, NY",36047002200,36047002200,35,,
"36081050000, NY",36081050000,36081050000,35,,
"36005032600, NY",36005032600,36005032600,40,,
"36081084601, NY",36081084601,36081084601,42,,
"36061024302, NY",36061024302,36061024302,33,,
"36081125700, NY",36081125700,36081125700,41,,
"36061021000, NY",36061021000,36061021000,31,,
"36061013600, NY",36061013600,36061013600,38,,
"36047004700, NY",36047004700,36047004700,35,,
"36061001001, NY",36061001001,36061001001,43,,
"36005006000, NY",36005006000,36005006000,33,,
"36005041900, NY",36005041900,36005041900,35,,
"36081066501, NY",36081066501,36081066501,46,,
"36047032600, NY",36047032600,36047032600,29,,
"36047119800, NY",36047119800,36047119800,30,,
"36081146300, NY",36081146300,36081146300,47,,
"36081008600, NY",36081008600,36081008600,42,,
"36047005201, NY",36047005201,36047005201,57,,
"36081023200, NY",36081023200,36081023200,39,,
"36085001100, NY",36085001100,36085001100,33,,
"36081080301, NY",36081080301,36081080301,35,,
"36061022301, NY",36061022301,36061022301,30,,
"36047030500, NY",36047030500,36047030500,32,,
"36005021800, NY",36005021800,36005021800,30,,
"36047059402, NY",36047059402,36047059402,47,,
"36047080800, NY",36047080800,36047080800,63,,
"36005015700, NY",36005015700,36005015700,27,,
"36047123700, NY",36047123700,36047123700,15,,
"36047045300, NY",36047045300,36047045300,31,,
"36061011600, NY",36061011600,36061011600,33,,
"36047062600, NY",36047062600,36047062600,41,,
"36047150200, NY",36047150200,36047150200,37,,
"36081056700, NY",36081056700,36081056700,37,,
"36061021703, NY",36061021703,36061021703,N/A,,
"36081115700, NY",36081115700,36081115700,41,,
"36081092500, NY",36081092500,36081092500,33,,
"36081047500, NY",36081047500,36081047500,37,,
"36081157102, NY",36081157102,36081157102,41,,
"36061001300, NY",36061001300,36061001300,31,,
"36085014100, NY",36085014100,36085014100,34,,
"36005009200, NY",36005009200,36005009200,33,,
"36081115900, NY",36081115900,36081115900,41,,
"36047010100, NY",36047010100,36047010100,32,,
"36081114700, NY",36081114700,36081114700,49,,
"36005007800, NY",36005007800,36005007800,29,,
"36081064500, NY",36081064500,36081064500,44,,
"36061030900, NY",36061030900,36061030900,34,,
"36005026602, NY",36005026602,36005026602,41,,
"36047119600, NY",36047119600,36047119600,31,,
