Census Tract,FIPS Code,Formatted FIPS,Estimated per capita income between 2010-2014.
"36061000700, NY",36061000700,36061000700,94254
"36061001002, NY",36061001002,36061001002,12939
"36081114100, NY",36081114100,36081114100,47671
"36005018400, NY",36005018400,36005018400,33666
"36085014608, NY",36085014608,36085014608,29651
"36081008800, NY",36081008800,36081008800,29920
"36005002800, NY",36005002800,36005002800,26234
"36081069702, NY",36081069702,36081069702,35407
"36081109700, NY",36081109700,36081109700,39823
"36061008602, NY",36061008602,36061008602,N/A
"36005034800, NY",36005034800,36005034800,17518
"36081062200, NY",36081062200,36081062200,33020
"36047060000, NY",36047060000,36047060000,33142
"36081080302, NY",36081080302,36081080302,24086
"36081032900, NY",36081032900,36081032900,22086
"36085027706, NY",36085027706,36085027706,26911
"36005033700, NY",36005033700,36005033700,43226
"36061006000, NY",36061006000,36061006000,68594
"36047003800, NY",36047003800,36047003800,53228
"36061000600, NY",36061000600,36061000600,13406
"36081062600, NY",36081062600,36081062600,30256
"36081103201, NY",36081103201,36081103201,13921
"36047114400, NY",36047114400,36047114400,11221
"36061001501, NY",36061001501,36061001501,79630
"36081028400, NY",36081028400,36081028400,20984
"36005026400, NY",36005026400,36005026400,33397
"36005029302, NY",36005029302,36005029302,58448
"36081053100, NY",36081053100,36081053100,28185
"36047096000, NY",36047096000,36047096000,N/A
"36047056300, NY",36047056300,36047056300,44630
"36061015500, NY",36061015500,36061015500,85642
"36081061602, NY",36081061602,36081061602,28114
"36061019900, NY",36061019900,36061019900,42311
"36081147100, NY",36081147100,36081147100,41413
"36081005400, NY",36081005400,36081005400,22354
"36047059401, NY",36047059401,36047059401,26525
"36005031900, NY",36005031900,36005031900,3787
"36005030000, NY",36005030000,36005030000,32037
"36081048400, NY",36081048400,36081048400,24204
"36047105801, NY",36047105801,36047105801,20946
"36081055200, NY",36081055200,36081055200,26207
"36005026900, NY",36005026900,36005026900,19136
"36005018500, NY",36005018500,36005018500,12293
"36081029900, NY",36081029900,36081029900,N/A
"36061017100, NY",36061017100,36061017100,103650
"36061018300, NY",36061018300,36061018300,70224
"36061023600, NY",36061023600,36061023600,21025
"36005039500, NY",36005039500,36005039500,14860
"36005038600, NY",36005038600,36005038600,21414
"36061031900, NY",36061031900,36061031900,N/A
"36081144700, NY",36081144700,36081144700,25849
"36061017500, NY",36061017500,36061017500,90877
"36085003600, NY",36085003600,36085003600,27702
"36081030902, NY",36081030902,36081030902,17789
"36061017900, NY",36061017900,36061017900,76015
"36081030904, NY",36081030904,36081030904,23693
"36061018700, NY",36061018700,36061018700,62753
"36047077200, NY",36047077200,36047077200,29075
"36081064600, NY",36081064600,36081064600,35934
"36005035600, NY",36005035600,36005035600,21049
"36047085200, NY",36047085200,36047085200,N/A
"36061019100, NY",36061019100,36061019100,70743
"36081065000, NY",36081065000,36081065000,26981
"36081117100, NY",36081117100,36081117100,19313
"36081022001, NY",36081022001,36081022001,36862
"36061000800, NY",36061000800,36061000800,17788
"36005002000, NY",36005002000,36005002000,14052
"36081006201, NY",36081006201,36081006201,38081
"36061022500, NY",36061022500,36061022500,21129
"36081059500, NY",36081059500,36081059500,25270
"36005030701, NY",36005030701,36005030701,60781
"36047007700, NY",36047007700,36047007700,61332
"36081097204, NY",36081097204,36081097204,18790
"36047152200, NY",36047152200,36047152200,37461
"36005014400, NY",36005014400,36005014400,14312
"36061024100, NY",36061024100,36061024100,27478
"36081047900, NY",36081047900,36081047900,23298
"36085031901, NY",36085031901,36085031901,12488
"36081066000, NY",36081066000,36081066000,28059
"36061019500, NY",36061019500,36061019500,62464
"36081113900, NY",36081113900,36081113900,28079
"36081034700, NY",36081034700,36081034700,23280
"36081109900, NY",36081109900,36081109900,26271
"36081077904, NY",36081077904,36081077904,25676
"36061001502, NY",36061001502,36061001502,78400
"36047005601, NY",36047005601,36047005601,41202
"36085018701, NY",36085018701,36085018701,35897
"36081140300, NY",36081140300,36081140300,29734
"36081044000, NY",36081044000,36081044000,17893
"36047035400, NY",36047035400,36047035400,34424
"36081061601, NY",36081061601,36081061601,34511
"36081081800, NY",36081081800,36081081800,17000
"36081051200, NY",36081051200,36081051200,24149
"36081071100, NY",36081071100,36081071100,38033
"36081021400, NY",36081021400,36081021400,21179
"36061019200, NY",36061019200,36061019200,11113
"36081145900, NY",36081145900,36081145900,31408
"36047094401, NY",36047094401,36047094401,25123
"36081036600, NY",36081036600,36081036600,24253
"36047056100, NY",36047056100,36047056100,45444
"36005044400, NY",36005044400,36005044400,24670
"36081032800, NY",36081032800,36081032800,23000
"36081081400, NY",36081081400,36081081400,20515
"36061011700, NY",36061011700,36061011700,79738
"36081139900, NY",36081139900,36081139900,35988
"36081050700, NY",36081050700,36081050700,34223
"36081079200, NY",36081079200,36081079200,23526
"36081074900, NY",36081074900,36081074900,64971
"36047005900, NY",36047005900,36047005900,37339
"36081075702, NY",36081075702,36081075702,53413
"36081112900, NY",36081112900,36081112900,42999
"36081146700, NY",36081146700,36081146700,38301
"36081143500, NY",36081143500,36081143500,31905
"36047062200, NY",36047062200,36047062200,33974
"36005011502, NY",36005011502,36005011502,9934
"36047062000, NY",36047062000,36047062000,39569
"36005043400, NY",36005043400,36005043400,18108
"36081030903, NY",36081030903,36081030903,19157
"36005020000, NY",36005020000,36005020000,18297
"36005018900, NY",36005018900,36005018900,11787
"36081145102, NY",36081145102,36081145102,28691
"36081069000, NY",36081069000,36081069000,24726
"36061022900, NY",36061022900,36061022900,21914
"36081048900, NY",36081048900,36081048900,23221
"36081039400, NY",36081039400,36081039400,24024
"36047098200, NY",36047098200,36047098200,13576
"36005023800, NY",36005023800,36005023800,17021
"36085017300, NY",36085017300,36085017300,25570
"36061003300, NY",36061003300,36061003300,198534
"36081048500, NY",36081048500,36081048500,25034
"36081144100, NY",36081144100,36081144100,36985
"36061016700, NY",36061016700,36061016700,107421
"36005028800, NY",36005028800,36005028800,31825
"36047037000, NY",36047037000,36047037000,36951
"36047002200, NY",36047002200,36047002200,20102
"36081050000, NY",36081050000,36081050000,18409
"36005032600, NY",36005032600,36005032600,23317
"36081084601, NY",36081084601,36081084601,37543
"36061024302, NY",36061024302,36061024302,10306
"36081125700, NY",36081125700,36081125700,23636
"36061021000, NY",36061021000,36061021000,19049
"36061013600, NY",36061013600,36061013600,100867
"36047004700, NY",36047004700,36047004700,53561
"36061001001, NY",36061001001,36061001001,50430
"36005006000, NY",36005006000,36005006000,16133
"36005041900, NY",36005041900,36005041900,23422
"36081066501, NY",36081066501,36081066501,37476
"36047032600, NY",36047032600,36047032600,13106
"36047119800, NY",36047119800,36047119800,15587
"36081146300, NY",36081146300,36081146300,30087
"36081008600, NY",36081008600,36081008600,33283
"36047005201, NY",36047005201,36047005201,43611
"36081023200, NY",36081023200,36081023200,25937
"36085001100, NY",36085001100,36085001100,23717
"36081080301, NY",36081080301,36081080301,20349
"36061022301, NY",36061022301,36061022301,17138
"36047030500, NY",36047030500,36047030500,31301
"36005021800, NY",36005021800,36005021800,17331
"36047059402, NY",36047059402,36047059402,39471
"36047080800, NY",36047080800,36047080800,7173
"36005015700, NY",36005015700,36005015700,14486
"36047123700, NY",36047123700,36047123700,9349
"36047045300, NY",36047045300,36047045300,22957
"36061011600, NY",36061011600,36061011600,67636
"36047062600, NY",36047062600,36047062600,23785
"36047150200, NY",36047150200,36047150200,45209
"36081056700, NY",36081056700,36081056700,27872
"36061021703, NY",36061021703,36061021703,N/A
"36081115700, NY",36081115700,36081115700,26550
"36081092500, NY",36081092500,36081092500,20222
"36081047500, NY",36081047500,36081047500,23520
"36081157102, NY",36081157102,36081157102,25807
"36061001300, NY",36061001300,36061001300,96903
"36085014100, NY",36085014100,36085014100,23014
"36005009200, NY",36005009200,36005009200,18648
"36081115900, NY",36081115900,36081115900,22901
"36047010100, NY",36047010100,36047010100,24271
"36081114700, NY",36081114700,36081114700,35511
"36005007800, NY",36005007800,36005007800,14309
"36081064500, NY",36081064500,36081064500,37877
"36061030900, NY",36061030900,36061030900,18041
"36005026602, NY",36005026602,36005026602,28614
"36047119600, NY",36047119600,36047119600,15145
"36047001500, NY",36047001500,36047001500,52043
"36005015200, NY",36005015200,36005015200,23486
"36081084900, NY",36081084900,36081084900,16587
"36081024600, NY",36081024600,36081024600,N/A
"36085001700, NY",36085001700,36085001700,31153
"36005016600, NY",36005016600,36005016600,33440
"36081022002, NY",36081022002,36081022002,31102
"36047076800, NY",36047076800,36047076800,24475
"36081015801, NY",36081015801,36081015801,19531
"36081019400, NY",36081019400,36081019400,25318
"36047037402, NY",36047037402,36047037402,22086
"36085019700, NY",36085019700,36085019700,43741
"36081038400, NY",36081038400,36081038400,25621
"36081115100, NY",36081115100,36081115100,37650
"36047114201, NY",36047114201,36047114201,16363
"36081063200, NY",36081063200,36081063200,30373
"36047090800, NY",36047090800,36047090800,19223
"36047029200, NY",36047029200,36047029200,20050
"36081074700, NY",36081074700,36081074700,31436
"36005042500, NY",36005042500,36005042500,16565
"36005012300, NY",36005012300,36005012300,10889
"36047001300, NY",36047001300,36047001300,46547
"36047005400, NY",36047005400,36047005400,40366
"36047000200, NY",36047000200,36047000200,11579
"36081079702, NY",36081079702,36081079702,18962
"36005046000, NY",36005046000,36005046000,18280
"36047003100, NY",36047003100,36047003100,33608
"36061015900, NY",36061015900,36061015900,110850
"36081020400, NY",36081020400,36081020400,17494
"36081079900, NY",36081079900,36081079900,17027
"36081077906, NY",36081077906,36081077906,26062
"36005020100, NY",36005020100,36005020100,13795
"36047046800, NY",36047046800,36047046800,12708
"36047016800, NY",36047016800,36047016800,42037
"36081010300, NY",36081010300,36081010300,30084
"36047055700, NY",36047055700,36047055700,84858
"36061013200, NY",36061013200,36061013200,78322
"36047007500, NY",36047007500,36047007500,66446
